日期,行业销量,去年同月
2010/1,7073,
2010/2,7544,
2010/3,27108,
2010/4,19012,
2010/5,13965,
2010/6,9995,
2010/7,7691,
2010/8,7592,
2010/9,10034,
2010/10,10674,
2010/11,12598,
2010/12,11261,
2011/1,10611,7073
2011/2,19970,7544
2011/3,42362,27108
2011/4,25806,19012
2011/5,13297,13965
2011/6,9388,9995
2011/7,7050,7691
2011/8,7147,7592
2011/9,8048,10034
2011/10,8210,10674
2011/11,8107,12598
2011/12,7726,11261
2012/1,4779,10611
2012/2,14444,19970
2012/3,21314,42362
2012/4,13543,25806
2012/5,9498,13297
2012/6,7596,9388
2012/7,5259,7050
2012/8,4768,7147
2012/9,5050,8048
2012/10,5446,8210
2012/11,5850,8107
2012/12,6320,7726
2013/1,4212,4779
2013/2,5448,14444
2013/3,20571,21314
2013/4,15543,13543
2013/5,10346,9498
2013/6,7635,7596
2013/7,5662,5259
2013/8,5646,4768
2013/9,6331,5050
2013/10,6871,5446
2013/11,7536,5850
2013/12,7807,6320
2014/1,4047,4212
2014/2,8913,5448
2014/3,18949,20571
2014/4,12262,15543
2014/5,7256,10346
2014/6,5701,7635
2014/7,4168,5662
2014/8,3964,5646
2014/9,4106,6331
2014/10,4460,6871
2014/11,4641,7536
2014/12,4866,7807
2015/1,3419,4047
2015/2,2385,8913
2015/3,11862,18949
2015/4,8743,12262
2015/5,5067,7256
2015/6,3504,5701
2015/7,2575,4168
2015/8,2493,3964
2015/9,2653,4106
2015/10,2952,4460
2015/11,3214,4641
2015/12,3401,4866
2016/1,2459,3419
2016/2,3157,2385
2016/3,12904,11862
2016/4,6404,8743
2016/5,4735,5067
2016/6,3616,3504
2016/7,3060,2575
2016/8,3810,2493
2016/9,4816,2653
2016/10,5278,2952
2016/11,5881,3214
2016/12,6120,3401
2017/1,3905,2459
2017/2,13761,3157
2017/3,20328,12904
2017/4,13502,6404
2017/5,10354,4735
2017/6,8128,3616
2017/7,6941,3060
2017/8,7870,3810
2017/9,9311,4816
2017/10,9603,5278
2017/11,12775,5881
2017/12,12641,6120
2018/1,9396,3905
2018/2,9510,13761
2018/3,36213,20328
2018/4,24784,13502
2018/5,17643,10354
2018/6,12318,8128
2018/7,9232,6941
2018/8,9999,7870
2018/9,11610,9311
2018/10,13359,9603
2018/11,14011,12775
2018/12,14135,12641
2019/1,10033,9396
2019/2,16909,9510
2019/3,41211,36213
2019/4,25980,24784
2019/5,16541,17643
2019/6,12322,12318
2019/7,10065,9232
2019/8,11419,9999
2019/9,13002,11610
2019/10,14699,13359
2019/11,16981,14011
2019/12,17046,14135
2020/1,7834,10033
2020/2,7016,16909
2020/3,45420,41211
2020/4,42666,25980
2020/5,29031,16541
2020/6,21357,12322
2020/7,15956,10065
2020/8,17872,11419
2020/9,22190,13002
2020/10,23524,14699
