日期,行业销量,去年同季
2010/3,41725,
2010/6,42972,
2010/9,25317,
2010/12,34533,
2011/3,72943,41725
2011/6,48491,42972
2011/9,22245,25317
2011/12,24043,34533
2012/3,40537,72943
2012/6,30637,48491
2012/9,15077,22245
2012/12,17616,24043
2013/3,30231,40537
2013/6,33524,30637
2013/9,17639,15077
2013/12,22214,17616
2014/3,31909,30231
2014/6,25219,33524
2014/9,12238,17639
2014/12,13967,22214
2015/3,17666,31909
2015/6,17314,25219
2015/9,7721,12238
2015/12,9567,13967
2016/3,18520,17666
2016/6,14755,17314
2016/9,11686,7721
2016/12,17279,9567
2017/3,37994,18520
2017/6,31984,14755
2017/9,24122,11686
2017/12,35019,17279
2018/3,55119,37994
2018/6,54745,31984
2018/9,30841,24122
2018/12,41505,35019
2019/3,68153,55119
2019/6,54843,54745
2019/9,34486,30841
2019/12,48726,41505
2020/3,60270,68153
2020/6,93054,54843
2020/9,56018,34486
