日期,行业销量_挖,行业销量_装,行业销量_装Q1
2010/3,41725,40593,
2010/6,42972,57924,40593
2010/9,25317,39688,57924
2010/12,34533,39760,39688
2011/3,72943,64860,39760
2011/6,48491,62372,64860
2011/9,22245,41048,62372
2011/12,24043,43621,41048
2012/3,40537,41803,43621
2012/6,30637,42845,41803
2012/9,15077,25191,42845
2012/12,17616,26670,25191
2013/3,30231,33580,26670
2013/6,33524,46869,33580
2013/9,17639,29266,46869
2013/12,22214,34670,29266
2014/3,31909,35911,34670
2014/6,25219,39822,35911
2014/9,12238,24666,39822
2014/12,13967,20746,24666
2015/3,17666,16773,20746
2015/6,17314,18116,16773
2015/9,7721,11055,18116
2015/12,9567,11038,11055
2016/3,18520,18396,11038
2016/6,14755,11568,18396
2016/9,11686,10006,11568
2016/12,17279,12789,10006
2017/3,37994,18423,12789
2017/6,31984,21055,18423
2017/9,24122,19309,21055
2017/12,35019,18554,19309
2018/3,55119,24599,18554
2018/6,54745,28661,24599
2018/9,30841,19452,28661
2018/12,41505,22196,19452
2019/3,68153,25100,22196
2019/6,54843,28253,25100
2019/9,34486,20830,28253
2019/12,48726,22449,20830
2020/3,60270,17767,22449
2020/6,93054,36985,17767
2020/9,56018,24564,36985
