日期,行业销量,克强指数,克强指数M-1,克强指数M-2,房地产新增开工面积,房地产新增开工面积M-1,房地产新增开工面积M-2,房地产开发投资完成额,房地产开发投资完成额M-1,房地产开发投资完成额M-2,社融,社融M-1,社融M-2,固定资产投资完成额,固定资产投资完成额M-1,固定资产投资完成额M-2,原煤产量,原煤产量M-1,原煤产量M-2,原煤价格,原煤价格M-1,原煤价格M-2,铁矿石原矿产量,铁矿石原矿产量M-1,铁矿石原矿产量M-2,采矿业投资额,采矿业投资额M-1,采矿业投资额M-2,水泥产量,水泥产量M-1,水泥产量M-2,道路运输,道路运输M-1,道路运输M-2,国家铁路,国家铁路M-1,国家铁路M-2,日本出口,日本出口M-1,日本出口M-2
2010/1,9008,14.53333333,,,18799.85,,,4906.25,,,20550,,,24080.65,,,25610.1,,,768,,,6283.6,,,859.05,,,11520.5,,,1151.25,,,3218398,,,8872625,,
2010/2,6684,26.2,14.53333333,,14914.3,18799.85,,3143.6,4906.25,,10877,20550,,13014,24080.65,,21298,25610.1,,765,768,,6150.9,6283.6,,323.9,859.05,,8377.5,11520.5,,727.6,1151.25,,2128261,3218398,,14726601,8872625,
2010/3,24901,29,26.2,14.53333333,17374.3,14914.3,18799.85,3450.8,3143.6,4906.25,13830,10877,20550,16778.7,13014,24080.65,27980.8,21298,25610.1,763.9,765,768,7972.4,6150.9,6283.6,651,323.9,859.05,13598.7,8377.5,11520.5,815,727.6,1151.25,3560147,2128261,3218398,20106437,14726601,8872625
2010/4,25334,29.1,29,26.2,13398.2,17374.3,14914.3,3337.6,3450.8,3143.6,14919,13830,10877,16950.1,16778.7,13014,26839.1,27980.8,21298,744,763.9,765,8807.4,7972.4,6150.9,657.6,651,323.9,16114.5,13598.7,8377.5,924.3,815,727.6,5300549,3560147,2128261,16840378,20106437,14726601
2010/5,18502,27.6,29.1,29,15775.8,13398.2,17374.3,3985.4,3337.6,3450.8,10805,14919,13830,20615.6,16950.1,16778.7,28386.4,26839.1,27980.8,729.6,744,763.9,9105.6,8807.4,7972.4,925.7,657.6,651,17357.6,16114.5,13598.7,1123.3,924.3,815,5712126,5300549,3560147,10403501,16840378,20106437
2010/6,14088,22.2,27.6,29.1,18988.3,15775.8,13398.2,5829.7,3985.4,3337.6,10196,10805,14919,30689.1,20615.6,16950.1,29692.1,28386.4,26839.1,728,729.6,744,10155.2,9105.6,8807.4,1046.8,925.7,657.6,17448.3,17357.6,16114.5,1477.8,1123.3,924.3,7148546,5712126,5300549,13125404,10403501,16840378
2010/7,12908,21.2,22.2,27.6,11732.3,18988.3,15775.8,4117.7,5829.7,3985.4,7202,10196,10805,21818.9,30689.1,20615.6,29190.6,29692.1,28386.4,772.7,728,729.6,9759.1,10155.2,9105.6,932,1046.8,925.7,16492.2,17448.3,17357.6,1233.4,1477.8,1123.3,5663263,7148546,5712126,14770810,13125404,10403501
2010/8,12637,19.8,21.2,22.2,12664.2,11732.3,18988.3,4490.3,4117.7,5829.7,10646,7202,10196,21131.5,21818.9,30689.1,30138.4,29190.6,29692.1,810.9,772.7,728,9957.5,9759.1,10155.2,975.9,932,1046.8,16780.4,16492.2,17448.3,1174.5,1233.4,1477.8,7709266,5663263,7148546,10412489,14770810,13125404
2010/9,14143,15.6,19.8,21.2,14593.5,12664.2,11732.3,5156.2,4490.3,4117.7,11224,10646,7202,24871.8,21131.5,21818.9,27601.5,30138.4,29190.6,794.4,810.9,772.7,9354.7,9957.5,9759.1,916.9,975.9,932,17045.8,16780.4,16492.2,1332,1174.5,1233.4,8578794,7709266,5663263,13014181,10412489,14770810
2010/10,12302,15.9,15.6,19.8,12315.5,14593.5,12664.2,4558.3,5156.2,4490.3,8608,11224,10646,21686.5,24871.8,21131.5,30065.6,27601.5,30138.4,781.9,794.4,810.9,9548.7,9354.7,9957.5,974.8,916.9,975.9,17029.7,17045.8,16780.4,1282.5,1332,1174.5,8316304,8578794,7709266,10643724,13014181,10412489
2010/11,12438,14.2,15.9,15.6,13373.5,12315.5,14593.5,4627.8,4558.3,5156.2,10554,8608,11224,23141.8,21686.5,24871.8,33757.6,30065.6,27601.5,776.3,781.9,794.4,9558.1,9548.7,9354.7,924.3,974.8,916.9,17658.4,17029.7,17045.8,1244.6,1282.5,1332,11313018,8316304,8578794,14024495,10643724,13014181
2010/12,15020,14.36666667,14.2,15.9,18516.9,13373.5,12315.5,5562.1,4627.8,4558.3,10780,10554,8608,30717.1,23141.8,21686.5,30291.95,33757.6,30065.6,771.4,776.3,781.9,9820.9,9558.1,9548.7,1347.2,924.3,974.8,16966.2,17658.4,17029.7,1429.7,1244.6,1282.5,15197789,11313018,8316304,13883687,14024495,10643724
2011/1,13555,14.53333333,14.36666667,14.2,18799.85,18516.9,13373.5,4906.25,5562.1,4627.8,17560,10780,10554,24080.65,30717.1,23141.8,26826.3,30291.95,33757.6,783.9,771.4,776.3,7378.9,9820.9,9558.1,859.05,1347.2,924.3,11614.9,16966.2,17658.4,1151.25,1429.7,1244.6,4043567,15197789,11313018,14029251,13883687,14024495
