日期,行业销量,去年同季
2010/3,40593,
2010/6,57924,
2010/9,39688,
2010/12,39760,
2011/3,64860,40593
2011/6,62372,57924
2011/9,41048,39688
2011/12,43621,39760
2012/3,41803,64860
2012/6,42845,62372
2012/9,25191,41048
2012/12,26670,43621
2013/3,33580,41803
2013/6,46869,42845
2013/9,29266,25191
2013/12,34670,26670
2014/3,35911,33580
2014/6,39822,46869
2014/9,24666,29266
2014/12,20746,34670
2015/3,16773,35911
2015/6,18116,39822
2015/9,11055,24666
2015/12,11038,20746
2016/3,18396,16773
2016/6,11568,18116
2016/9,10006,11055
2016/12,12789,11038
2017/3,18423,18396
2017/6,21055,11568
2017/9,19309,10006
2017/12,18554,12789
2018/3,24599,18423
2018/6,28661,21055
2018/9,19452,19309
2018/12,22196,18554
2019/3,25100,24599
2019/6,28253,28661
2019/9,20830,19452
2019/12,22449,22196
2020/3,17767,25100
2020/6,36985,28253
2020/9,24564,20830
