日期,行业销量_装,行业销量_挖,行业销量_挖M-1,行业销量_挖M-2
2010/1,9008,7073,,
2010/2,6684,7544,7073,
2010/3,24901,27108,7544,7073
2010/4,25334,19012,27108,7544
2010/5,18502,13965,19012,27108
2010/6,14088,9995,13965,19012
2010/7,12908,7691,9995,13965
2010/8,12637,7592,7691,9995
2010/9,14143,10034,7592,7691
2010/10,12302,10674,10034,7592
2010/11,12438,12598,10674,10034
2010/12,15020,11261,12598,10674
2011/1,13555,10611,11261,12598
2011/2,14736,19970,10611,11261
2011/3,36569,42362,19970,10611
2011/4,25636,25806,42362,19970
2011/5,20864,13297,25806,42362
2011/6,15872,9388,13297,25806
2011/7,13005,7050,9388,13297
2011/8,13301,7147,7050,9388
2011/9,14742,8048,7147,7050
2011/10,14194,8210,8048,7147
2011/11,13707,8107,8210,8048
2011/12,15720,7726,8107,8210
2012/1,5383,4779,7726,8107
2012/2,14682,14444,4779,7726
2012/3,21738,21314,14444,4779
2012/4,18313,13543,21314,14444
2012/5,12890,9498,13543,21314
2012/6,11642,7596,9498,13543
2012/7,8964,5259,7596,9498
2012/8,7926,4768,5259,7596
2012/9,8301,5050,4768,5259
2012/10,8324,5446,5050,4768
2012/11,8988,5850,5446,5050
2012/12,9358,6320,5850,5446
2013/1,6638,4212,6320,5850
2013/2,6168,5448,4212,6320
2013/3,20774,20571,5448,4212
2013/4,18709,15543,20571,5448
2013/5,15135,10346,15543,20571
2013/6,13025,7635,10346,15543
2013/7,9542,5662,7635,10346
2013/8,9348,5646,5662,7635
2013/9,10376,6331,5646,5662
2013/10,9949,6871,6331,5646
2013/11,11163,7536,6871,6331
2013/12,13558,7807,7536,6871
2014/1,6668,4047,7807,7536
2014/2,8947,8913,4047,7807
2014/3,20296,18949,8913,4047
2014/4,15974,12262,18949,8913
2014/5,12465,7256,12262,18949
2014/6,11383,5701,7256,12262
2014/7,8812,4168,5701,7256
2014/8,8152,3964,4168,5701
2014/9,7702,4106,3964,4168
2014/10,7597,4460,4106,3964
2014/11,6522,4641,4460,4106
2014/12,6627,4866,4641,4460
2015/1,4566,3419,4866,4641
2015/2,2821,2385,3419,4866
2015/3,9386,11862,2385,3419
2015/4,7286,8743,11862,2385
2015/5,5850,5067,8743,11862
2015/6,4980,3504,5067,8743
2015/7,3656,2575,3504,5067
2015/8,3619,2493,2575,3504
2015/9,3780,2653,2493,2575
2015/10,3588,2952,2653,2493
2015/11,3735,3214,2952,2653
2015/12,3715,3401,3214,2952
2016/1,2805,2459,3401,3214
2016/2,2526,3157,2459,3401
2016/3,13065,12904,3157,2459
2016/4,4292,6404,12904,3157
2016/5,3823,4735,6404,12904
2016/6,3453,3616,4735,6404
2016/7,3036,3060,3616,4735
2016/8,3230,3810,3060,3616
2016/9,3740,4816,3810,3060
2016/10,4285,5278,4816,3810
2016/11,4275,5881,5278,4816
2016/12,4229,6120,5881,5278
2017/1,3205,3905,6120,5881
2017/2,5741,13761,3905,6120
2017/3,9477,20328,13761,3905
2017/4,7434,13502,20328,13761
2017/5,6934,10354,13502,20328
2017/6,6687,8128,10354,13502
2017/7,6012,6941,8128,10354
2017/8,6168,7870,6941,8128
2017/9,7129,9311,7870,6941
2017/10,6440,9603,9311,7870
2017/11,6146,12775,9603,9311
2017/12,5968,12641,12775,9603
2018/1,6958,9396,12641,12775
2018/2,4108,9510,9396,12641
2018/3,13533,36213,9510,9396
2018/4,11370,24784,36213,9510
2018/5,9100,17643,24784,36213
2018/6,8191,12318,17643,24784
2018/7,6583,9232,12318,17643
2018/8,6479,9999,9232,12318
2018/9,6390,11610,9999,9232
2018/10,7352,13359,11610,9999
2018/11,7402,14011,13359,11610
2018/12,7442,14135,14011,13359
2019/1,5552,10033,14135,14011
2019/2,4790,16909,10033,14135
2019/3,14758,41211,16909,10033
2019/4,10733,25980,41211,16909
2019/5,9092,16541,25980,41211
2019/6,8428,12322,16541,25980
2019/7,6437,10065,12322,16541
2019/8,7030,11419,10065,12322
2019/9,7363,13002,11419,10065
2019/10,7441,14699,13002,11419
2019/11,7566,16981,14699,13002
2019/12,7442,17046,16981,14699
2020/1,3955,7834,17046,16981
2020/2,2034,7016,7834,17046
2020/3,11778,45420,7016,7834
2020/4,14494,42666,45420,7016
2020/5,11272,29031,42666,45420
2020/6,11219,21357,29031,42666
2020/7,8001,15956,21357,29031
2020/8,7696,17872,15956,21357
2020/9,8867,22190,17872,15956
2020/10,8115,23524,22190,17872
