日期,行业销量_装,行业销量_挖,行业销量_挖Q1
2010/3,40593,41725,
2010/6,57924,42972,41725
2010/9,39688,25317,42972
2010/12,39760,34533,25317
2011/3,64860,72943,34533
2011/6,62372,48491,72943
2011/9,41048,22245,48491
2011/12,43621,24043,22245
2012/3,41803,40537,24043
2012/6,42845,30637,40537
2012/9,25191,15077,30637
2012/12,26670,17616,15077
2013/3,33580,30231,17616
2013/6,46869,33524,30231
2013/9,29266,17639,33524
2013/12,34670,22214,17639
2014/3,35911,31909,22214
2014/6,39822,25219,31909
2014/9,24666,12238,25219
2014/12,20746,13967,12238
2015/3,16773,17666,13967
2015/6,18116,17314,17666
2015/9,11055,7721,17314
2015/12,11038,9567,7721
2016/3,18396,18520,9567
2016/6,11568,14755,18520
2016/9,10006,11686,14755
2016/12,12789,17279,11686
2017/3,18423,37994,17279
2017/6,21055,31984,37994
2017/9,19309,24122,31984
2017/12,18554,35019,24122
2018/3,24599,55119,35019
2018/6,28661,54745,55119
2018/9,19452,30841,54745
2018/12,22196,41505,30841
2019/3,25100,68153,41505
2019/6,28253,54843,68153
2019/9,20830,34486,54843
2019/12,22449,48726,34486
2020/3,17767,60270,48726
2020/6,36985,93054,60270
2020/9,24564,56018,93054
