日期,GDP,克强指数,房地产新增开工面积,房地产开发投资完成额,社融,固定资产投资完成额,原煤产量,原煤价格,铁矿石原矿产量,采矿业投资额,水泥产量,道路运输,国家铁路,日本出口
2010/3,87501.3,31.1121,32288.6,6594.45,45257,29792.68,74888.8737,763.8695652,20406.8999,974.9186257,33496.67,1542.55,8906806,43705663
2010/6,99347.4,26.6406,48162.34,13152.67,35920,68254.7,84917.6709,728,28068.2,2630.116157,50920.4,3525.28,18161221,40369283
2010/9,105963.7,22.4149,38990.06,13764.13,29072,67822.2,86930.44,794.3636364,29071.3,2824.769139,50318.4,3739.84,21951323,38197480
2010/12,119306.8,19.0835,44205.87,14748.15,29942,75545.35,63823.22,771.3913043,28927.7,3246.345831,51654.3,3956.82,34827111,38551906
2011/3,104469.9,13.9314,39842.43,8846.36,42240,39464.91,83664.5711,836.7391304,24066.9799,1078.257727,36884.6457,1854.58,12161660,49719342
2011/6,118895.9,12.4899,59600.16,17404.09,35400,85101.77,98558.46,830.4090909,32424.7,3067.53541,57978.4,3823.71,15649966,34105105
2011/9,126562.2,11.4951,48332.1,17974.39,20413,87707.31,97323,853.8181818,37201.6,3396.364726,55581.9,3852.66,11731632,30314384
2011/12,138012.1,11.0684,43462.1782,17572.06,30233,89658.86,65100,788,37804,4356.81175,55377,4325.4042,19429869.7,21917581
2012/3,117357.6,6.1261,39946.2726,10927.1652,38889,47865.3977,84300,780.0909091,25639.3085,1302.670107,39516.0592,2183.3872,5963909,26001551
2012/6,131320.6,5.3546,52433.4003,19682.6634,38871,102844.6658,94000,698.1428571,34206.5,3711.568389,60893.6,4485.3659,11811180,16177577
2012/9,138089.6,4.3559,42634.7601,20436.0968,39459,106222.8314,93200,631.9047619,36109.2,3840.285809,59638.5,4850.6661,16640538,10485693
2012/12,151812,4.5973,42319.1844,20757.8615,40413,107902.1751,64480,640,36896.7,4444.229419,59293.1,5615.5076,28682331,5351454
2013/3,129449.6,4.9121,38872.9504,13132.5735,61654,58092.2759,84000,621.4285714,28738.2,1338.112935,42426.8,2657.7364,6700715,10793188
2013/6,143518.7,5.2545,57028.1386,23695.3618,39875,123225.3241,91600,608.4210526,35657.1908,4116.1663,66668.2362,5325.6797,14892409,8492503
2013/9,152222.7,7.1036,48998.4682,24291.6121,38152,127889.9739,91500,536.6666667,38700.5407,4328.836113,65170.9408,6275.8917,15378060,7064164
2013/12,167772.3,7.7176,56308.2849,24893.8352,33487,127320.1261,65000,612.9545455,40538.0681,4795.549697,66154.6487,6433.0095,31465016,5380496
2014/3,140759.8,5.896,29089.6613,15339.2433,56308,68321.7145,84000,537.1428571,30420.4,1499.646403,20484.7,3267.7642,7132400,6419559
2014/6,156489.6,6.2566,51036.0778,26679.3746,48945,144448.7341,89900,528,39363.9039,4199.704843,69211.5939,6594.1711,16387153,5473208
2014/9,165484.7,5.6227,51285.2267,26732.5961,23669,145016.7357,89500,479.5454545,41061.0489,4435.958142,67191.9535,7024.2551,22105747,4003697
2014/12,180828.9,5.8311,48181.5268,26284.4004,35211,144217.7157,62100,525.4347826,38929.2588,4086.421314,65616.7,7679.6261,28249300,3719329
2015/3,151137.9,2.817735,23723.6211,16650.6352,46558,77511.2536,83559.2,482.9545455,27973.1953,1438.75409,25755,4044.6743,8256000,6825710
2015/6,168549.7,2.523232,43755.1541,27304.3155,41363,159620.6125,93412.1,414.5238095,35024.0365,3823.098089,64684.3,8005.6341,18257000,5741878
2015/9,176597.7,2.009261,47335.5374,26580.1198,32179,157399.1717,92796.9,382.425,38156.9631,4064.532271,64456,7889.2928,19451900,3384909
2015/12,192572.9,1.48,39639.3631,25443.7753,33962,157059.0005,95376.4,358.2608696,36255.1716,3638.087535,62790.6011,8674.5035,30852200,3273030
2016/3,162410,3.33,28281.4211,17676.6202,67001,85842.8332,29379.7776,380.5434783,9815.8,1178.471475,20138.6,4451.6606,9182300,3407746
