日期,GDP,GDPQ-1,克强指数,克强指数Q-1,房地产新增开工面积,房地产新增开工面积Q-1,房地产开发投资完成额,房地产开发投资完成额Q-1,社融,社融Q-1,固定资产投资完成额,固定资产投资完成额Q-1,原煤产量,原煤产量Q-1,原煤价格,原煤价格Q-1,铁矿石原矿产量,铁矿石原矿产量Q-1,采矿业投资额,采矿业投资额Q-1,水泥产量,水泥产量Q-1,道路运输,道路运输Q-1,国家铁路,国家铁路Q-1,日本出口,日本出口Q-1
Mar-10,87501.3,,31.1121,,32288.6,,6594.45,,45257,,29792.68,,74888.8737,,763.8695652,,20406.8999,,974.9186257,,33496.67,,1542.55,,8906806,,43705663,
Jun-10,99347.4,87501.3,26.6406,31.1121,48162.34,32288.6,13152.67,6594.45,35920,45257,68254.7,29792.68,84917.6709,74888.8737,728,763.8695652,28068.2,20406.8999,2630.116157,974.9186257,50920.4,33496.67,3525.28,1542.55,18161221,8906806,40369283,43705663
Sep-10,105963.7,99347.4,22.4149,26.6406,38990.06,48162.34,13764.13,13152.67,29072,35920,67822.2,68254.7,86930.44,84917.6709,794.3636364,728,29071.3,28068.2,2824.769139,2630.116157,50318.4,50920.4,3739.84,3525.28,21951323,18161221,38197480,40369283
Dec-10,119306.8,105963.7,19.0835,22.4149,44205.87,38990.06,14748.15,13764.13,29942,29072,75545.35,67822.2,63823.22,86930.44,771.3913043,794.3636364,28927.7,29071.3,3246.345831,2824.769139,51654.3,50318.4,3956.82,3739.84,34827111,21951323,38551906,38197480
Mar-11,104469.9,119306.8,13.9314,19.0835,39842.43,44205.87,8846.36,14748.15,42240,29942,39464.91,75545.35,83664.5711,63823.22,836.7391304,771.3913043,24066.9799,28927.7,1078.257727,3246.345831,36884.6457,51654.3,1854.58,3956.82,12161660,34827111,49719342,38551906
Jun-11,118895.9,104469.9,12.4899,13.9314,59600.16,39842.43,17404.09,8846.36,35400,42240,85101.77,39464.91,98558.46,83664.5711,830.4090909,836.7391304,32424.7,24066.9799,3067.53541,1078.257727,57978.4,36884.6457,3823.71,1854.58,15649966,12161660,34105105,49719342
Sep-11,126562.2,118895.9,11.4951,12.4899,48332.1,59600.16,17974.39,17404.09,20413,35400,87707.31,85101.77,97323,98558.46,853.8181818,830.4090909,37201.6,32424.7,3396.364726,3067.53541,55581.9,57978.4,3852.66,3823.71,11731632,15649966,30314384,34105105
Dec-11,138012.1,126562.2,11.0684,11.4951,43462.1782,48332.1,17572.06,17974.39,30233,20413,89658.86,87707.31,65100,97323,788,853.8181818,37804,37201.6,4356.81175,3396.364726,55377,55581.9,4325.4042,3852.66,19429869.7,11731632,21917581,30314384
Mar-12,117357.6,138012.1,6.1261,11.0684,39946.2726,43462.1782,10927.1652,17572.06,38889,30233,47865.3977,89658.86,84300,65100,780.0909091,788,25639.3085,37804,1302.670107,4356.81175,39516.0592,55377,2183.3872,4325.4042,5963909,19429869.7,26001551,21917581
Jun-12,131320.6,117357.6,5.3546,6.1261,52433.4003,39946.2726,19682.6634,10927.1652,38871,38889,102844.6658,47865.3977,94000,84300,698.1428571,780.0909091,34206.5,25639.3085,3711.568389,1302.670107,60893.6,39516.0592,4485.3659,2183.3872,11811180,5963909,16177577,26001551
Sep-12,138089.6,131320.6,4.3559,5.3546,42634.7601,52433.4003,20436.0968,19682.6634,39459,38871,106222.8314,102844.6658,93200,94000,631.9047619,698.1428571,36109.2,34206.5,3840.285809,3711.568389,59638.5,60893.6,4850.6661,4485.3659,16640538,11811180,10485693,16177577
Dec-12,151812,138089.6,4.5973,4.3559,42319.1844,42634.7601,20757.8615,20436.0968,40413,39459,107902.1751,106222.8314,64480,93200,640,631.9047619,36896.7,36109.2,4444.229419,3840.285809,59293.1,59638.5,5615.5076,4850.6661,28682331,16640538,5351454,10485693
Mar-13,129449.6,151812,4.9121,4.5973,38872.9504,42319.1844,13132.5735,20757.8615,61654,40413,58092.2759,107902.1751,84000,64480,621.4285714,640,28738.2,36896.7,1338.112935,4444.229419,42426.8,59293.1,2657.7364,5615.5076,6700715,28682331,10793188,5351454
Jun-13,143518.7,129449.6,5.2545,4.9121,57028.1386,38872.9504,23695.3618,13132.5735,39875,61654,123225.3241,58092.2759,91600,84000,608.4210526,621.4285714,35657.1908,28738.2,4116.1663,1338.112935,66668.2362,42426.8,5325.6797,2657.7364,14892409,6700715,8492503,10793188
Sep-13,152222.7,143518.7,7.1036,5.2545,48998.4682,57028.1386,24291.6121,23695.3618,38152,39875,127889.9739,123225.3241,91500,91600,536.6666667,608.4210526,38700.5407,35657.1908,4328.836113,4116.1663,65170.9408,66668.2362,6275.8917,5325.6797,15378060,14892409,7064164,8492503
