日期,克强指数,房地产新增开工面积,房地产开发投资完成额,社融,固定资产投资完成额,原煤产量,原煤价格,铁矿石原矿产量,采矿业投资额,水泥产量,道路运输,国家铁路,日本出口
Jan-10,14.53333333,18799.85,4906.25,20550,24080.65,25610.1,768,6283.6,859.05,11520.5,1151.25,3218398,8872625
Feb-10,26.2,14914.3,3143.6,10877,13014,21298,765,6150.9,323.9,8377.5,727.6,2128261,14726601
Mar-10,29,17374.3,3450.8,13830,16778.7,27980.8,763.9,7972.4,651,13598.7,815,3560147,20106437
Apr-10,29.1,13398.2,3337.6,14919,16950.1,26839.1,744,8807.4,657.6,16114.5,924.3,5300549,16840378
May-10,27.6,15775.8,3985.4,10805,20615.6,28386.4,729.6,9105.6,925.7,17357.6,1123.3,5712126,10403501
Jun-10,22.2,18988.3,5829.7,10196,30689.1,29692.1,728,10155.2,1046.8,17448.3,1477.8,7148546,13125404
Jul-10,21.2,11732.3,4117.7,7202,21818.9,29190.6,772.7,9759.1,932,16492.2,1233.4,5663263,14770810
Aug-10,19.8,12664.2,4490.3,10646,21131.5,30138.4,810.9,9957.5,975.9,16780.4,1174.5,7709266,10412489
Sep-10,15.6,14593.5,5156.2,11224,24871.8,27601.5,794.4,9354.7,916.9,17045.8,1332,8578794,13014181
Oct-10,15.9,12315.5,4558.3,8608,21686.5,30065.6,781.9,9548.7,974.8,17029.7,1282.5,8316304,10643724
Nov-10,14.2,13373.5,4627.8,10554,23141.8,33757.6,776.3,9558.1,924.3,17658.4,1244.6,11313018,14024495
Dec-10,14.36666667,18516.9,5562.1,10780,30717.1,30291.95,771.4,9820.9,1347.2,16966.2,1429.7,15197789,13883687
Jan-11,14.53333333,18799.85,4906.25,17560,24080.65,26826.3,783.9,7378.9,859.05,11614.9,1151.25,4043567,14029251
Feb-11,14.7,19082.8,4250.4,6468,17444.2,24749.4,817.3,7244.6,370.9,8814.1,872.8,3038334,21547979
Mar-11,14.1,20759.6,4596,18212,22020.8,32088.9,836.7,9443.5,707.4,16455.6,981.8,5079759,14142112
Apr-11,12.4,16998.1,4493.8,13673,23251.3,31808.2,846.8,9776.6,779.6,18555.6,1102.6,5165670,10936747
May-11,12.1,19277.7,5397.1,10854,27538.3,32730.2,841,10246.7,981.8,19628.3,1295.3,4671973,9360111
Jun-11,12.4,23324.4,7513.2,10873,34312.2,34020.1,830.4,12401.4,1306.2,19794.5,1425.8,5812323,13808247
Jul-11,11.6,15726.6,5622.6,5393,27853.2,32782.5,830.4,11696,1108.1,18307.7,1228.4,4430292,10981968
Aug-11,10.3,16711.5,5907.8,10741,28187.8,32740.5,842,12755.2,1135.6,18242.9,1299.7,3530430,10074509
Sep-11,12.6,15894,6444,4279,31666.4,31800,853.8,12750.4,1152.7,19031.3,1324.6,3770910,9257907
Oct-11,11.5,12587.5,5698,7908,29091.1,33000,844.4,13241.3,1224.9,19062.7,1294.6,3355978,8355209
Nov-11,10.1,14589.6,5560.2,9581,28087,32100,815.5,12637,1177.7,18806,1245.7,6265490,7035542
Dec-11,11.56666667,16285.1,6313.9,12744,32480.7,28850,788,11925.7,1954.2,17508.3,1785.1,9808401.7,6526830
Jan-12,13.03333333,18166.9,5872.7,9754,26834.75,25600,772.4,7151.5,1205,10174.1,1405.4,1228220,6173673
Feb-12,14.5,20048.7,5431.5,10431,21188.8,29200,770.5,8156.7,455.8,11414.2,1025.7,1764944,7536014
Mar-12,5.8,19897.6,5495.7,18704,26676.6,29500,780.1,10331.1,846.8,17927.7,1157.7,2970745,12291864
Apr-12,5.1,14521.5,4908,9637,27726.2,31000,788.1,10401.9,1002.4,19666.2,1281.2,2995839,6154847
May-12,5.6,18391.5,6377.7,11432,33332.6,31500,769,11235.3,1187,20510.9,1397.8,4005643,5637086
Jun-12,3.8,19520.4,8396.9,17802,41785.9,31500,698.1,12569.3,1522.1,20716.5,1806.4,4809698,4385644
Jul-12,2.4,11524.9,6164.6,10522,33601.7,31000,638.5,11546.1,1241.1,19117,1575.3,4796316,4792380
Aug-12,1.4,19035.9,6913.4,12475,33646.3,30700,630,11656.9,1323.1,19555.2,1450.9,4578418,3194210
Sep-12,2.4,12074,7358,16462,38974.8,31500,631.9,12906.2,1276.1,20966.3,1824.4,7265804,2499103
Oct-12,4.9,11777.8,6582.8,12906,35609.1,31500,640,12485.3,1202.9,21005.8,1791.5,8101269,2244494
Nov-12,6.2,15621,7143.7,11225,33694.2,32980,640,12463.5,1101.9,20107.6,1704.1,8180016,1796864
Dec-12,2.9,14920.4,7031.4,16282,38598.9,31990,640,11947.9,2139.4,18179.7,2119.9,12401046,1310096
Jan-13,-0.4,18960.7,6850.55,25446,32137.4,31000,632.3,8653.9,1327.7,14232.7,1690.45,2099360,1237973
Feb-13,-3.7,23001,6669.7,10705,25675.9,24000,630,8863.4,516,9496.5,1261,1663207,4075178
Mar-13,4.3,15871.9,6462.9,25503,32416.4,29000,621.4,11220.9,822.1,18697.6,1396.8,2938148,5480037
Apr-13,5.3,16632.9,6047.6,17629,33226.9,30500,617.6,11053.3,1086,21487.8,1495.7,4389559,2766288
May-13,4.2,18107.4,7617.8,11871,39891.5,30700,610,11679,1316.8,22426.7,1736,4670740,3271859
Jun-13,6.1,22287.8,10030,10375,50107,30400,608.4,12924.9,1713.4,22753.7,2094,5832110,2454356
Jul-13,8.6,16736.6,7473.6,8191,40404.6,30000,585.7,12052.6,1414.1,21182.2,2043,4581394,2196133
Aug-13,11.1,15202.6,7818.2,15841,40855.8,30000,560.5,12983.9,1466.4,21483.4,1976.3,5153941,2031893
Sep-13,9.9,17059.2,8999.8,14120,46629.5,31500,536.7,13664,1448.3,22505.3,2256.6,5642725,2836138
Oct-13,9.8,11375.4,7573.6,8645,42461.7,32000,533.7,13487.4,1466.6,23253.7,1984.7,5955716,1976000
Nov-13,8.8,24779.7,8719,12310,39613.3,33000,558.6,13865.6,1196.7,22371.4,2163.4,8211373,1826160
Dec-13,8.933333333,20153.2,8601.2,12532,45245.2,31000,613,13185.1,2132.2,20529.5,2284.9,17297927,1578336
Jan-14,9.066666667,18423.1,8278.6,26004,37764.1,29000,605.7,9629.6,1350.35,20514.56667,1927.15,2812500,956823
Feb-14,9.2,16693,7956,9370,30283,24500,567.9,8697.7,568.5,20499.63333,1569.4,1460100,2431300
Mar-14,6.4,12396.7,7383.3,20934,38038.7,30500,537.1,12093.1,931.2,20484.7,1698.4,2859800,3031436
Apr-14,5.6,14144.7,6982.3,15259,38756.1,30100,530,12237.1,1093,22588.8,1876.7,3646900,2114951
May-14,6.8,16678.2,8417,14013,46638.7,30000,533.1,13194.4,1426.4,23427,2177.1,4474500,1961249
Jun-14,6.8,20213.3,11280,19673,59054,29800,528,13932.4,1680.3,23195.8,2540.3,8265753,1397008
Jul-14,5.6,18106,8362.6,2737,46722.5,30100,505.2,13673.9,1429.4,22296.8,2272.4,6037747,924144
Aug-14,4,16149.7,8593.3,9577,46293.6,30200,480,13652.1,1531.1,22480.1,2295,7425800,1334994
Sep-14,5.4,17029.5,9776.7,11355,52000.7,29200,479.5,13735.1,1475.5,22415,2456.8,8642200,1744559
Oct-14,4.3,16250,8469.1,6807,48373.4,29100,488.9,13484.6,1361.9,23353,2374.6,8111627,1314438
Nov-14,4.3,17044.5,9381.1,11459,44907,33000,509.8,12817.7,1123.5,21863,2183,7889415,947451
Dec-14,4.3,14887,8434.3,16945,50937.3,31000,525.4,12627,1601.1,20400.7,3122,12248258,1457440
Jan-15,1.85,14315.25,8610.35,20516,42707.35,29000,519.3,9223,1077.45,15008.6,2546.2,2722400,1419897
Feb-15,-0.6,13743.5,8786.4,13609,34477.4,24000,507.6,8240.2,553.8,9616.5,1970.4,1901200,1829408
Mar-15,1.3,9980.1,7864.3,12433,43033.8,30559.2,483,10510,884.9,16138.5,2074.3,3632400,3576405
Apr-15,2.4,12032.5,7018.4,10582,42467.3,29801.7,447.9,10409.5,952.2,20865.1,2212.7,5066300,1856751
May-15,2.2,14548.7,8622.8,12397,51266.9,30938.5,416,11766.3,1262.7,22043.6,2642.5,5295800,1816181
Jun-15,2.6,17174,11663.1,18384,65886.5,32671.9,414.5,12848.2,1608.2,21775.6,3150.5,7894900,2068946
Jul-15,1.1,14251.9,8607.3,7511,51336.6,30665.9,414.3,12619,1402.9,21192.6,2498.4,5432200,993887
Aug-15,1.6,13451.2,8500.3,11097,50508.9,30862.9,388.1,12381.4,1334.3,21499.4,2538.4,5917700,1025144
Sep-15,0.2,19632.5,9472.5,13571,55553.7,31268.1,382.4,13156.6,1327.4,21764,2852.4,8102000,1365878
Oct-15,0.4,12271.5,8265.7,5593,52893.8,31694.6,370,12534.7,1187.2,22498.8,2724.3,6536800,1583618
Nov-15,0.6,13482.8,8901.6,10255,49757.3,32022.9,353,11753.4,1014.2,20494.4,2540.5,9150500,902483
Dec-15,1,13885,8276.5,18114,54407.9,31658.9,358.3,11967.1,1436.7,19797.4,3409.7,15164900,786929
Jan-16,1.45,14752.6,8664.15,34758,46207.85,30899.2,365.8,11250,913.6,19911.13333,2757.4,2428600,840640
