日期,行业销量
2010/1,7073
2010/2,7544
2010/3,27108
2010/4,19012
2010/5,13965
2010/6,9995
2010/7,7691
2010/8,7592
2010/9,10034
2010/10,10674
2010/11,12598
2010/12,11261
2011/1,10611
2011/2,19970
2011/3,42362
2011/4,25806
2011/5,13297
2011/6,9388
2011/7,7050
2011/8,7147
2011/9,8048
2011/10,8210
2011/11,8107
2011/12,7726
2012/1,4779
2012/2,14444
2012/3,21314
2012/4,13543
2012/5,9498
2012/6,7596
2012/7,5259
2012/8,4768
2012/9,5050
2012/10,5446
2012/11,5850
2012/12,6320
2013/1,4212
2013/2,5448
2013/3,20571
2013/4,15543
2013/5,10346
2013/6,7635
2013/7,5662
2013/8,5646
2013/9,6331
2013/10,6871
2013/11,7536
2013/12,7807
2014/1,4047
2014/2,8913
2014/3,18949
2014/4,12262
2014/5,7256
2014/6,5701
2014/7,4168
2014/8,3964
2014/9,4106
2014/10,4460
2014/11,4641
2014/12,4866
2015/1,3419
2015/2,2385
2015/3,11862
2015/4,8743
2015/5,5067
2015/6,3504
2015/7,2575
2015/8,2493
2015/9,2653
2015/10,2952
2015/11,3214
2015/12,3401
2016/1,2459
2016/2,3157
2016/3,12904
2016/4,6404
2016/5,4735
2016/6,3616
2016/7,3060
2016/8,3810
2016/9,4816
2016/10,5278
2016/11,5881
2016/12,6120
2017/1,3905
2017/2,13761
2017/3,20328
2017/4,13502
2017/5,10354
2017/6,8128
2017/7,6941
2017/8,7870
2017/9,9311
2017/10,9603
2017/11,12775
2017/12,12641
2018/1,9396
2018/2,9510
2018/3,36213
2018/4,24784
2018/5,17643
2018/6,12318
2018/7,9232
2018/8,9999
2018/9,11610
2018/10,13359
2018/11,14011
2018/12,14135
2019/1,10033
2019/2,16909
2019/3,41211
2019/4,25980
2019/5,16541
2019/6,12322
2019/7,10065
2019/8,11419
2019/9,13002
2019/10,14699
2019/11,16981
2019/12,17046
2020/1,7834
2020/2,7016
2020/3,45420
2020/4,42666
2020/5,29031
2020/6,21357
2020/7,15956
2020/8,17872
2020/9,22190
2020/10,23524
