日期,行业销量
2010/3,41725
2010/6,42972
2010/9,25317
2010/12,34533
2011/3,72943
2011/6,48491
2011/9,22245
2011/12,24043
2012/3,40537
2012/6,30637
2012/9,15077
2012/12,17616
2013/3,30231
2013/6,33524
2013/9,17639
2013/12,22214
2014/3,31909
2014/6,25219
2014/9,12238
2014/12,13967
2015/3,17666
2015/6,17314
2015/9,7721
2015/12,9567
2016/3,18520
2016/6,14755
2016/9,11686
2016/12,17279
2017/3,37994
2017/6,31984
2017/9,24122
2017/12,35019
2018/3,55119
2018/6,54745
2018/9,30841
2018/12,41505
2019/3,68153
2019/6,54843
2019/9,34486
2019/12,48726
2020/3,60270
2020/6,93054
2020/9,56018
