日期,行业销量
2010/1,9008
2010/2,6684
2010/3,24901
2010/4,25334
2010/5,18502
2010/6,14088
2010/7,12908
2010/8,12637
2010/9,14143
2010/10,12302
2010/11,12438
2010/12,15020
2011/1,13555
2011/2,14736
2011/3,36569
2011/4,25636
2011/5,20864
2011/6,15872
2011/7,13005
2011/8,13301
2011/9,14742
2011/10,14194
2011/11,13707
2011/12,15720
2012/1,5383
2012/2,14682
2012/3,21738
2012/4,18313
2012/5,12890
2012/6,11642
2012/7,8964
2012/8,7926
2012/9,8301
2012/10,8324
2012/11,8988
2012/12,9358
2013/1,6638
2013/2,6168
2013/3,20774
2013/4,18709
2013/5,15135
2013/6,13025
2013/7,9542
2013/8,9348
2013/9,10376
2013/10,9949
2013/11,11163
2013/12,13558
2014/1,6668
2014/2,8947
2014/3,20296
2014/4,15974
2014/5,12465
2014/6,11383
2014/7,8812
2014/8,8152
2014/9,7702
2014/10,7597
2014/11,6522
2014/12,6627
2015/1,4566
2015/2,2821
2015/3,9386
2015/4,7286
2015/5,5850
2015/6,4980
2015/7,3656
2015/8,3619
2015/9,3780
2015/10,3588
2015/11,3735
2015/12,3715
2016/1,2805
2016/2,2526
2016/3,13065
2016/4,4292
2016/5,3823
2016/6,3453
2016/7,3036
2016/8,3230
2016/9,3740
2016/10,4285
2016/11,4275
2016/12,4229
2017/1,3205
2017/2,5741
2017/3,9477
2017/4,7434
2017/5,6934
2017/6,6687
2017/7,6012
2017/8,6168
2017/9,7129
2017/10,6440
2017/11,6146
2017/12,5968
2018/1,6958
2018/2,4108
2018/3,13533
2018/4,11370
2018/5,9100
2018/6,8191
2018/7,6583
2018/8,6479
2018/9,6390
2018/10,7352
2018/11,7402
2018/12,7442
2019/1,5552
2019/2,4790
2019/3,14758
2019/4,10733
2019/5,9092
2019/6,8428
2019/7,6437
2019/8,7030
2019/9,7363
2019/10,7441
2019/11,7566
2019/12,7442
2020/1,3955
2020/2,2034
2020/3,11778
2020/4,14494
2020/5,11272
2020/6,11219
2020/7,8001
2020/8,7696
2020/9,8867
2020/10,8115
