日期,行业销量
2010/3,40593
2010/6,57924
2010/9,39688
2010/12,39760
2011/3,64860
2011/6,62372
2011/9,41048
2011/12,43621
2012/3,41803
2012/6,42845
2012/9,25191
2012/12,26670
2013/3,33580
2013/6,46869
2013/9,29266
2013/12,34670
2014/3,35911
2014/6,39822
2014/9,24666
2014/12,20746
2015/3,16773
2015/6,18116
2015/9,11055
2015/12,11038
2016/3,18396
2016/6,11568
2016/9,10006
2016/12,12789
2017/3,18423
2017/6,21055
2017/9,19309
2017/12,18554
2018/3,24599
2018/6,28661
2018/9,19452
2018/12,22196
2019/3,25100
2019/6,28253
2019/9,20830
2019/12,22449
2020/3,17767
2020/6,36985
2020/9,24564
